schedule_id,nationality,number,name,position,attackpoints,blockpoints,servepoints,efficency,totalabs,attack_pt,attack_err,attack_att,attack_tot,attack_eff,block_pt,block_err,block_touches,block_tot,block_eff,serve_pt,serve_err,serve_attempts,serve_tot,serve_eff,reception_successful,reception_err,reception_attempts,reception_tot,reception_eff,dig_digs,dig_err,dig_tot,dig_eff,set_pt,set_err,set_attempts,set_tot,set_eff
11899,GER,21,Weitzel Camilla ,MB,6,1,0,-2.94,7,6,1,4,11,45.45,1,6,1,8,-62.50,0,1,14,15,-6.67,0,0,1,1,0.00,3,1,4,50.00,0,0,4,4,0.00
11899,GER,24,Cekulaev Anastasia ,MB,0,0,0, ,0,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0, ,0,0,0,0, 
11899,KOR,1,Lee Soyoung ,OH,2,0,1,-9.52,3,2,4,8,14,-14.29,0,0,0,0, ,1,1,5,7,0.00,5,2,14,21,14.29,5,1,7,57.14,0,0,3,3,0.00
11899,KOR,3,Yeum Hye Seon ,S,0,0,0,-25.00,0,0,0,1,1,0.00,0,1,0,1,-100.00,0,1,5,6,-16.67,0,0,1,1,0.00,7,2,9,55.56,1,1,42,44,0.00
11899,KOR,5,Han Dahye ,L,0,0,0, ,0,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,2,2,0.00,0,0,0, ,0,0,0,0, 
11899,KOR,6,Kim Dain ,S,0,0,0, ,0,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0, ,0,0,0,0, 
11899,KOR,7,An Hyejin ,S,0,0,1,0.00,1,0,0,0,0, ,0,0,0,0, ,1,1,6,8,0.00,0,0,0,0, ,3,1,4,50.00,2,0,37,39,5.13
11899,KOR,8,Park Eunjin ,MB,1,0,0,-15.38,1,1,1,6,8,0.00,0,1,0,1,-100.00,0,1,3,4,-25.00,0,0,0,0, ,3,1,4,50.00,0,0,0,0, 
11899,KOR,9,Oh Jiyoung ,L,0,0,0, ,0,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,5,1,14,20,20.00,7,4,12,25.00,0,0,7,7,0.00
11899,KOR,10,Kim Yeon Koung ,OH,10,0,0,15.79,10,10,3,12,25,28.00,0,1,1,2,-50.00,0,0,11,11,0.00,2,0,14,16,12.50,7,3,10,40.00,0,0,5,5,0.00
11899,KOR,12,Han Songyi ,MB,0,0,0,0.00,0,0,0,0,0, ,0,0,0,0, ,0,0,1,1,0.00,0,0,0,0, ,0,0,0, ,0,0,0,0, 
11899,KOR,13,Park Jeongah ,OH,11,2,0,21.43,13,11,3,17,31,25.81,2,1,1,4,25.00,0,0,7,7,0.00,0,1,3,4,-25.00,7,2,9,55.56,0,0,1,1,0.00
11899,KOR,14,Yang Hyo Jin ,MB,2,1,0,0.00,3,2,2,2,6,0.00,1,1,2,4,0.00,0,0,9,9,0.00,0,0,0,0, ,2,0,5,40.00,0,0,5,5,0.00
11899,KOR,15,Yuk Seoyoung ,OH,0,0,0, ,0,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0, ,0,0,0,0, 
11899,KOR,16,Jeong Jiyun ,O,4,0,0,0.00,4,4,3,6,13,7.69,0,1,1,2,-50.00,0,0,3,3,0.00,0,0,0,0, ,1,2,3,-33.33,0,0,0,0, 
11899,KOR,19,Pyo Seungju ,OH,0,0,0,0.00,0,0,0,0,0, ,0,0,0,0, ,0,0,1,1,0.00,0,0,0,0, ,0,0,0, ,0,0,0,0, 
11900,BEL,2,Van Sas Elise ,S,0,0,0, ,0,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0,0, ,0,0,0, ,1,0,6,7,14.29
11900,BEL,3,Herbots Britt ,OH,27,1,0,11.00,28,27,7,43,77,25.97,1,7,1,9,-66.67,0,3,11,14,-21.43,3,0,4,7,42.86,13,4,20,45.00,0,0,4,4,0.00
11900,BEL,4,Lemmens Nathalie ,MB,0,0,0,0.00,0,0,0,0,0, ,0,0,1,1,0.00,0,0,0,0, ,0,0,0,0, ,0,0,0, ,0,0,0,0, 
