matchid,matchname,teamhome,teamaway,scorehome,awayhome,result,points_home,points_away
11807,Pool 5 - Preliminary Round - Men,IRI,POL,0,3,"[20, 25, 20, 25, 16, 25]",56,75
11808,Pool 5 - Preliminary Round - Men,JPN,SLO,0,3,"[16, 25, 16, 25, 26, 28]",58,78
11809,Pool 5 - Preliminary Round - Men,FRA,ARG,3,0,"[26, 24, 25, 21, 25, 22]",76,67
11810,Pool 5 - Preliminary Round - Men,BRA,GER,3,0,"[25, 21, 25, 21, 25, 23]",75,65
11811,Pool 5 - Preliminary Round - Men,RUS,ITA,3,2,"[25, 21, 16, 25, 25, 17, 19, 25, 15, 12]",100,100
11812,Pool 5 - Preliminary Round - Men,AUS,NED,0,3,"[23, 25, 19, 25, 19, 25]",61,75
11813,Pool 5 - Preliminary Round - Men,CAN,SRB,3,2,"[17, 25, 21, 25, 25, 17, 25, 20, 17, 15]",105,102
11814,Pool 5 - Preliminary Round - Men,USA,JPN,3,0,"[25, 21, 25, 23, 25, 20]",75,64
11815,Pool 5 - Preliminary Round - Men,FRA,POL,3,2,"[25, 22, 21, 25, 22, 25, 25, 20, 15, 11]",108,103
11816,Pool 5 - Preliminary Round - Men,IRI,ARG,1,3,"[31, 33, 23, 25, 32, 30, 18, 25]",104,113
11817,Pool 5 - Preliminary Round - Men,SLO,BUL,3,0,"[25, 23, 25, 16, 25, 18]",75,57
11818,Pool 5 - Preliminary Round - Men,ITA,GER,3,2,"[25, 12, 24, 26, 25, 22, 21, 25, 15, 13]",110,98
11819,Pool 5 - Preliminary Round - Men,BRA,RUS,0,3,"[21, 25, 26, 28, 20, 25]",67,78
11950,Semifinals - Final Round - Women,BRA,JPN,3,1,"[25, 15, 25, 23, 29, 31, 25, 16]",104,85
11951,Semifinals - Final Round - Women,USA,TUR,3,0,"[25, 21, 25, 23, 25, 20]",75,64
11952,Final 3-4 - Final Round - Women,JPN,TUR,0,3,"[19, 25, 16, 25, 17, 25]",52,75
11953,Final 1-2 - Final Round - Women,BRA,USA,1,3,"[28, 26, 23, 25, 23, 25, 21, 25]",95,101
11820,Semifinals - Final Round - Men,BRA,FRA,3,0,"[25, 20, 25, 18, 25, 19]",75,57
11821,Semifinals - Final Round - Men,POL,SLO,3,0,"[25, 22, 25, 21, 25, 23]",75,66
11822,Final 3-4 - Final Round - Men,FRA,SLO,3,0,"[25, 20, 25, 18, 25, 19]",75,57
11823,Final 1-2 - Final Round - Men,BRA,POL,3,1,"[22, 25, 25, 23, 25, 16, 25, 14]",97,78
