matchid,matchname,teamhome,teamaway,scorehome,awayhome,result,points_home,points_away
11858,Pool 2 - Preliminary Round - Women,CAN,TUR,2,3,"[23, 25, 25, 19, 25, 22, 23, 25, 12, 15]",108,106
11859,Pool 2 - Preliminary Round - Women,KOR,POL,0,3,"[15, 25, 20, 25, 22, 25]",57,75
11860,Pool 2 - Preliminary Round - Women,SRB,USA,0,3,"[20, 25, 16, 25, 12, 25]",48,75
11861,Pool 2 - Preliminary Round - Women,RUS,ITA,3,0,"[26, 24, 25, 23, 27, 25]",78,72
11862,Pool 2 - Preliminary Round - Women,TUR,GER,3,0,"[25, 20, 25, 20, 25, 22]",75,62
11863,Pool 2 - Preliminary Round - Women,DOM,KOR,3,0,"[25, 23, 28, 26, 25, 18]",78,67
11864,Pool 2 - Preliminary Round - Women,BEL,POL,3,2,"[25, 15, 17, 25, 25, 19, 22, 25, 15, 12]",104,96
11865,Pool 2 - Preliminary Round - Women,SRB,THA,3,0,"[25, 19, 25, 23, 25, 23]",75,65
11866,Pool 2 - Preliminary Round - Women,CHN,CAN,2,3,"[22, 25, 25, 21, 17, 25, 25, 15, 12, 15]",101,101
11867,Pool 2 - Preliminary Round - Women,USA,NED,3,0,"[25, 22, 25, 15, 25, 18]",75,55
11868,Pool 2 - Preliminary Round - Women,ITA,JPN,2,3,"[25, 27, 19, 25, 25, 16, 25, 21, 13, 15]",107,104
11869,Pool 2 - Preliminary Round - Women,BRA,RUS,3,0,"[25, 20, 25, 11, 25, 18]",75,49
11870,Pool 2 - Preliminary Round - Women,BEL,KOR,3,2,"[23, 25, 25, 23, 25, 16, 19, 25, 15, 12]",107,101
11871,Pool 2 - Preliminary Round - Women,THA,USA,0,3,"[17, 25, 14, 25, 16, 25]",47,75
11872,Pool 2 - Preliminary Round - Women,GER,CAN,0,3,"[28, 30, 25, 27, 14, 25]",67,82
11873,Pool 2 - Preliminary Round - Women,JPN,RUS,3,0,"[25, 20, 25, 21, 25, 21]",75,62
11874,Pool 2 - Preliminary Round - Women,CHN,TUR,0,3,"[15, 25, 23, 25, 21, 25]",59,75
11875,Pool 2 - Preliminary Round - Women,POL,DOM,1,3,"[25, 22, 22, 25, 26, 28, 21, 25]",94,100
11876,Pool 2 - Preliminary Round - Women,NED,SRB,3,1,"[25, 22, 25, 16, 18, 25, 25, 21]",93,84
11877,Pool 2 - Preliminary Round - Women,BRA,ITA,3,1,"[19, 25, 25, 15, 25, 19, 25, 19]",94,78
11724,Pool 2 - Preliminary Round - Men,GER,ARG,2,3,"[19, 25, 25, 23, 25, 17, 23, 25, 13, 15]",105,105
11725,Pool 2 - Preliminary Round - Men,IRI,CAN,3,1,"[22, 25, 25, 22, 25, 22, 25, 22]",97,91
11726,Pool 2 - Preliminary Round - Men,JPN,SRB,1,3,"[25, 18, 23, 25, 22, 25, 13, 25]",83,93
11727,Pool 2 - Preliminary Round - Men,BRA,FRA,0,3,"[37, 39, 18, 25, 28, 30]",83,94
11728,Pool 2 - Preliminary Round - Men,NED,SLO,0,3,"[18, 25, 15, 25, 18, 25]",51,75
11729,Pool 2 - Preliminary Round - Men,AUS,POL,0,3,"[16, 25, 10, 25, 12, 25]",38,75
11730,Pool 2 - Preliminary Round - Men,ITA,BUL,3,2,"[25, 19, 20, 25, 25, 13, 23, 25, 15, 12]",108,94
11731,Pool 2 - Preliminary Round - Men,RUS,USA,3,1,"[25, 22, 25, 19, 17, 25, 25, 19]",92,85
11732,Pool 2 - Preliminary Round - Men,ARG,SLO,0,3,"[19, 25, 22, 25, 18, 25]",59,75
11733,Pool 2 - Preliminary Round - Men,NED,GER,3,2,"[25, 18, 23, 25, 25, 20, 23, 25, 15, 13]",111,101
11734,Pool 2 - Preliminary Round - Men,BRA,JPN,3,0,"[25, 20, 25, 16, 25, 20]",75,56
11735,Pool 2 - Preliminary Round - Men,SRB,FRA,3,2,"[22, 25, 24, 26, 25, 22, 25, 23, 15, 9]",111,105
11736,Pool 2 - Preliminary Round - Men,IRI,ITA,3,1,"[26, 24, 29, 27, 21, 25, 25, 22]",101,98
11737,Pool 2 - Preliminary Round - Men,POL,USA,3,0,"[25, 17, 28, 26, 25, 17]",78,60
11738,Pool 2 - Preliminary Round - Men,RUS,AUS,3,0,"[25, 19, 26, 24, 25, 21]",76,64
11739,Pool 2 - Preliminary Round - Men,CAN,BUL,3,0,"[28, 26, 25, 23, 25, 16]",78,65
11740,Pool 2 - Preliminary Round - Men,NED,ARG,0,3,"[19, 25, 20, 25, 23, 25]",62,75
11741,Pool 2 - Preliminary Round - Men,SLO,GER,1,3,"[25, 19, 20, 25, 21, 25, 20, 25]",86,94
11742,Pool 2 - Preliminary Round - Men,FRA,JPN,3,2,"[21, 25, 25, 22, 24, 26, 25, 21, 15, 11]",110,105
11743,Pool 2 - Preliminary Round - Men,BRA,SRB,3,1,"[23, 25, 25, 23, 25, 15, 25, 22]",98,85
11744,Pool 2 - Preliminary Round - Men,RUS,POL,1,3,"[25, 21, 19, 25, 19, 25, 14, 25]",77,96
11745,Pool 2 - Preliminary Round - Men,USA,AUS,3,0,"[25, 23, 25, 20, 25, 17]",75,60
11746,Pool 2 - Preliminary Round - Men,BUL,IRI,0,3,"[20, 25, 31, 33, 22, 25]",73,83
11747,Pool 2 - Preliminary Round - Men,CAN,ITA,2,3,"[19, 25, 21, 25, 25, 21, 28, 26, 11, 15]",104,112
11878,Pool 3 - Preliminary Round - Women,CHN,BEL,2,3,"[25, 17, 25, 27, 25, 23, 21, 25, 8, 15]",104,107
