matchid,matchname,teamhome,teamaway,scorehome,awayhome,result
11722,Pool 1 - Preliminary Round - Men,POL,SLO,1,3,"['22', '-', '25', '25', '-', '23', '19', '-', '25', '23', '-', '25']"
11723,Pool 1 - Preliminary Round - Men,SRB,ITA,3,1,"['25', '-', '23', '22', '-', '25', '25', '-', '22', '25', '-', '18']"
11854,Pool 2 - Preliminary Round - Women,THA,NED,0,3,"['20', '-', '25', '9', '-', '25', '18', '-', '25']"
11855,Pool 2 - Preliminary Round - Women,BEL,DOM,3,2,"['31', '-', '33', '19', '-', '25', '25', '-', '20', '25', '-', '16', '15', '-', '11']"
11856,Pool 2 - Preliminary Round - Women,CHN,GER,3,2,"['20', '-', '25', '19', '-', '25', '27', '-', '25', '25', '-', '21', '15', '-', '9']"
11857,Pool 2 - Preliminary Round - Women,BRA,JPN,3,0,"['25', '-', '15', '25', '-', '19', '25', '-', '21']"
11858,Pool 2 - Preliminary Round - Women,CAN,TUR,2,3,"['23', '-', '25', '25', '-', '19', '25', '-', '22', '23', '-', '25', '12', '-', '15']"
11859,Pool 2 - Preliminary Round - Women,KOR,POL,0,3,"['15', '-', '25', '20', '-', '25', '22', '-', '25']"
11860,Pool 2 - Preliminary Round - Women,SRB,USA,0,3,"['20', '-', '25', '16', '-', '25', '12', '-', '25']"
11861,Pool 2 - Preliminary Round - Women,RUS,ITA,3,0,"['26', '-', '24', '25', '-', '23', '27', '-', '25']"
11862,Pool 2 - Preliminary Round - Women,TUR,GER,3,0,"['25', '-', '20', '25', '-', '20', '25', '-', '22']"
11863,Pool 2 - Preliminary Round - Women,DOM,KOR,3,0,"['25', '-', '23', '28', '-', '26', '25', '-', '18']"
11864,Pool 2 - Preliminary Round - Women,BEL,POL,3,2,"['25', '-', '15', '17', '-', '25', '25', '-', '19', '22', '-', '25', '15', '-', '12']"
11865,Pool 2 - Preliminary Round - Women,SRB,THA,3,0,"['25', '-', '19', '25', '-', '23', '25', '-', '23']"
11866,Pool 2 - Preliminary Round - Women,CHN,CAN,2,3,"['22', '-', '25', '25', '-', '21', '17', '-', '25', '25', '-', '15', '12', '-', '15']"
11867,Pool 2 - Preliminary Round - Women,USA,NED,3,0,"['25', '-', '22', '25', '-', '15', '25', '-', '18']"
11868,Pool 2 - Preliminary Round - Women,ITA,JPN,2,3,"['25', '-', '27', '19', '-', '25', '25', '-', '16', '25', '-', '21', '13', '-', '15']"
11869,Pool 2 - Preliminary Round - Women,BRA,RUS,3,0,"['25', '-', '20', '25', '-', '11', '25', '-', '18']"
11870,Pool 2 - Preliminary Round - Women,BEL,KOR,3,2,"['23', '-', '25', '25', '-', '23', '25', '-', '16', '19', '-', '25', '15', '-', '12']"
11871,Pool 2 - Preliminary Round - Women,THA,USA,0,3,"['17', '-', '25', '14', '-', '25', '16', '-', '25']"
11872,Pool 2 - Preliminary Round - Women,GER,CAN,0,3,"['28', '-', '30', '25', '-', '27', '14', '-', '25']"
11873,Pool 2 - Preliminary Round - Women,JPN,RUS,3,0,"['25', '-', '20', '25', '-', '21', '25', '-', '21']"
11874,Pool 2 - Preliminary Round - Women,CHN,TUR,0,3,"['15', '-', '25', '23', '-', '25', '21', '-', '25']"
11875,Pool 2 - Preliminary Round - Women,POL,DOM,1,3,"['25', '-', '22', '22', '-', '25', '26', '-', '28', '21', '-', '25']"
11876,Pool 2 - Preliminary Round - Women,NED,SRB,3,1,"['25', '-', '22', '25', '-', '16', '18', '-', '25', '25', '-', '21']"
