matchid,matchname,teamhome,teamaway,scorehome,awayhome,result
11934,Pool 5 - Preliminary Round - Women,DOM,SRB,3,0,"['25', '-', '14', '25', '-', '20', '25', '-', '18']"
11935,Pool 5 - Preliminary Round - Women,USA,RUS,3,1,"['25', '-', '21', '25', '-', '27', '25', '-', '23', '25', '-', '15']"
11936,Pool 5 - Preliminary Round - Women,JPN,GER,3,1,"['25', '-', '23', '19', '-', '25', '26', '-', '24', '25', '-', '15']"
11937,Pool 5 - Preliminary Round - Women,THA,CAN,3,0,"['25', '-', '16', '25', '-', '17', '25', '-', '17']"
11938,Pool 5 - Preliminary Round - Women,CHN,POL,3,0,"['26', '-', '24', '25', '-', '22', '25', '-', '16']"
11939,Pool 5 - Preliminary Round - Women,KOR,TUR,1,3,"['23', '-', '25', '25', '-', '20', '17', '-', '25', '18', '-', '25']"
11940,Pool 5 - Preliminary Round - Women,BRA,NED,3,0,"['25', '-', '19', '25', '-', '19', '25', '-', '20']"
11941,Pool 5 - Preliminary Round - Women,BEL,ITA,3,2,"['25', '-', '17', '20', '-', '25', '22', '-', '25', '25', '-', '17', '15', '-', '10']"
11942,Pool 5 - Preliminary Round - Women,DOM,GER,3,2,"['25', '-', '21', '25', '-', '22', '14', '-', '25', '25', '-', '27', '15', '-', '9']"
11943,Pool 5 - Preliminary Round - Women,CHN,USA,3,0,"['25', '-', '10', '25', '-', '20', '25', '-', '17']"
11944,Pool 5 - Preliminary Round - Women,THA,ITA,1,3,"['35', '-', '33', '21', '-', '25', '25', '-', '27', '20', '-', '25']"
11945,Pool 5 - Preliminary Round - Women,JPN,SRB,3,0,"['25', '-', '12', '25', '-', '22', '25', '-', '15']"
11946,Pool 5 - Preliminary Round - Women,RUS,POL,2,3,"['17', '-', '25', '25', '-', '20', '16', '-', '25', '25', '-', '22', '7', '-', '15']"
11947,Pool 5 - Preliminary Round - Women,KOR,NED,2,3,"['20', '-', '25', '25', '-', '23', '18', '-', '25', '25', '-', '22', '12', '-', '15']"
11948,Pool 5 - Preliminary Round - Women,BEL,CAN,3,0,"['26', '-', '24', '25', '-', '17', '25', '-', '17']"
11949,Pool 5 - Preliminary Round - Women,BRA,TUR,3,1,"['25', '-', '18', '25', '-', '16', '25', '-', '27', '25', '-', '15']"
11796,Pool 5 - Preliminary Round - Men,AUS,SRB,1,3,"['16', '-', '25', '13', '-', '25', '25', '-', '19', '15', '-', '25']"
11797,Pool 5 - Preliminary Round - Men,JPN,BUL,3,0,"['25', '-', '23', '25', '-', '18', '25', '-', '14']"
11798,Pool 5 - Preliminary Round - Men,FRA,IRI,3,0,"['25', '-', '21', '25', '-', '21', '25', '-', '19']"
11799,Pool 5 - Preliminary Round - Men,CAN,NED,3,0,"['25', '-', '16', '25', '-', '16', '25', '-', '19']"
11800,Pool 5 - Preliminary Round - Men,BRA,ITA,3,1,"['25', '-', '19', '32', '-', '30', '22', '-', '25', '25', '-', '20']"
11801,Pool 5 - Preliminary Round - Men,SLO,USA,3,2,"['28', '-', '30', '25', '-', '19', '21', '-', '25', '28', '-', '26', '15', '-', '13']"
11802,Pool 5 - Preliminary Round - Men,POL,ARG,3,0,"['25', '-', '21', '25', '-', '22', '25', '-', '18']"
11803,Pool 5 - Preliminary Round - Men,GER,RUS,1,3,"['18', '-', '25', '18', '-', '25', '25', '-', '23', '15', '-', '25']"
11804,Pool 5 - Preliminary Round - Men,CAN,AUS,3,0,"['25', '-', '17', '25', '-', '8', '25', '-', '20']"
11805,Pool 5 - Preliminary Round - Men,SRB,NED,3,2,"['25', '-', '21', '21', '-', '25', '25', '-', '18', '21', '-', '25', '17', '-', '15']"
11806,Pool 5 - Preliminary Round - Men,BUL,USA,0,3,"['19', '-', '25', '24', '-', '26', '9', '-', '25']"
11807,Pool 5 - Preliminary Round - Men,IRI,POL,0,3,"['20', '-', '25', '20', '-', '25', '16', '-', '25']"
11808,Pool 5 - Preliminary Round - Men,JPN,SLO,0,3,"['16', '-', '25', '16', '-', '25', '26', '-', '28']"
11809,Pool 5 - Preliminary Round - Men,FRA,ARG,3,0,"['26', '-', '24', '25', '-', '21', '25', '-', '22']"
11810,Pool 5 - Preliminary Round - Men,BRA,GER,3,0,"['25', '-', '21', '25', '-', '21', '25', '-', '23']"
11811,Pool 5 - Preliminary Round - Men,RUS,ITA,3,2,"['25', '-', '21', '16', '-', '25', '25', '-', '17', '19', '-', '25', '15', '-', '12']"
11812,Pool 5 - Preliminary Round - Men,AUS,NED,0,3,"['23', '-', '25', '19', '-', '25', '19', '-', '25']"
11813,Pool 5 - Preliminary Round - Men,CAN,SRB,3,2,"['17', '-', '25', '21', '-', '25', '25', '-', '17', '25', '-', '20', '17', '-', '15']"
11814,Pool 5 - Preliminary Round - Men,USA,JPN,3,0,"['25', '-', '21', '25', '-', '23', '25', '-', '20']"
11815,Pool 5 - Preliminary Round - Men,FRA,POL,3,2,"['25', '-', '22', '21', '-', '25', '22', '-', '25', '25', '-', '20', '15', '-', '11']"
11816,Pool 5 - Preliminary Round - Men,IRI,ARG,1,3,"['31', '-', '33', '23', '-', '25', '32', '-', '30', '18', '-', '25']"
11817,Pool 5 - Preliminary Round - Men,SLO,BUL,3,0,"['25', '-', '23', '25', '-', '16', '25', '-', '18']"
11818,Pool 5 - Preliminary Round - Men,ITA,GER,3,2,"['25', '-', '12', '24', '-', '26', '25', '-', '22', '21', '-', '25', '15', '-', '13']"
11819,Pool 5 - Preliminary Round - Men,BRA,RUS,0,3,"['21', '-', '25', '26', '-', '28', '20', '-', '25']"
11950,Semifinals - Final Round - Women,BRA,JPN,3,1,"['25', '-', '15', '25', '-', '23', '29', '-', '31', '25', '-', '16']"
11951,Semifinals - Final Round - Women,USA,TUR,3,0,"['25', '-', '21', '25', '-', '23', '25', '-', '20']"
11952,Final 3-4 - Final Round - Women,JPN,TUR,0,3,"['19', '-', '25', '16', '-', '25', '17', '-', '25']"
11953,Final 1-2 - Final Round - Women,BRA,USA,1,3,"['28', '-', '26', '23', '-', '25', '23', '-', '25', '21', '-', '25']"
11820,Semifinals - Final Round - Men,BRA,FRA,3,0,"['25', '-', '20', '25', '-', '18', '25', '-', '19']"
11821,Semifinals - Final Round - Men,POL,SLO,3,0,"['25', '-', '22', '25', '-', '21', '25', '-', '23']"
11822,Final 3-4 - Final Round - Men,FRA,SLO,3,0,"['25', '-', '20', '25', '-', '18', '25', '-', '19']"
11823,Final 1-2 - Final Round - Men,BRA,POL,3,1,"['22', '-', '25', '25', '-', '23', '25', '-', '16', '25', '-', '14']"
